ID,Username,Tweet,Sentiment,Location,Hashtags,Timestamp,Retweet_count,Like_count,Brand
t00017,ztorres,"Very poor performance by Adidas at Peterstad, Timor-Leste! #ShopSmart #Trending",negative,"Peterstad, Timor-Leste","['#ShopSmart', '#Trending']",2024-07-18 10:48:32.336082,535,1469,Adidas
t00018,matthewnorton,"Super impressed by the quality of Google at New York, USA! #EcoFriendly",positive,"New York, USA",['#EcoFriendly'],2024-06-15 00:42:50.776860,136,832,Google
t00019,jennifer53,"Not satisfied with the recent changes by Google at New York, USA! #ShopSmart",negative,"New York, USA",['#ShopSmart'],2024-10-12 05:29:07.734040,756,2253,Google
t00020,ronaldyoung,"Major letdown from Samsung at New York, USA! #MovieNight #EcoFriendly",negative,"New York, USA","['#MovieNight', '#EcoFriendly']",2024-05-16 13:37:31.134245,399,1283,Samsung
t00021,csmith,"Just another update from Netflix at North Ericmouth, Tanzania! #Trending #NewLaunch",neutral,"North Ericmouth, Tanzania","['#Trending', '#NewLaunch']",2025-02-11 07:37:29.836865,831,2591,Netflix
t00022,barajasdavid,"Terrible experience with Google at Berlin, Germany! #Innovation",negative,"Berlin, Germany",['#Innovation'],2024-08-13 23:10:35.411989,409,798,Google
t00023,tanneramy,"First impressions are great for Netflix at South Sharon, Jamaica! #FitnessGoals",positive,"South Sharon, Jamaica",['#FitnessGoals'],2024-08-17 08:51:50.590527,823,1205,Netflix
t00024,brownchristine,"Unmatched service and performance by Tesla at Toronto, Canada! #ShopSmart #Innovation",positive,"Toronto, Canada","['#ShopSmart', '#Innovation']",2024-12-03 14:03:48.857005,397,591,Tesla
t00025,jason68,"First impressions are great for Apple at Berlin, Germany! #TravelDiaries",positive,"Berlin, Germany",['#TravelDiaries'],2025-02-28 19:42:28.809880,535,1863,Apple
t00026,glasslori,"Another fantastic innovation from Nike at London, UK! #FitnessGoals #EcoFriendly",positive,"London, UK","['#FitnessGoals', '#EcoFriendly']",2024-12-04 14:34:39.852386,162,810,Nike
t00027,cunninghamrebecca,"First time trying products from Adidas at Mumbai, India! #Innovation",neutral,"Mumbai, India",['#Innovation'],2024-06-13 00:46:30.155815,275,1925,Adidas
t00028,mcknighttom,"Loving the fresh updates brought by Amazon at Sydney, Australia! #TechNews #Trending",positive,"Sydney, Australia","['#TechNews', '#Trending']",2024-09-01 01:54:16.414131,751,2349,Amazon
t00029,monica74,"Another fantastic innovation from Apple at London, UK! #FitnessGoals",positive,"London, UK",['#FitnessGoals'],2025-03-28 19:53:07.920825,146,1202,Apple
t00030,mendozashelly,"Terrible experience with Nike at North Toni, Australia! #MovieNight #Trending",negative,"North Toni, Australia","['#MovieNight', '#Trending']",2024-11-15 13:26:33.658683,114,823,Nike
t00031,xsanford,"Exploring the features of Nike at New York, USA! #FitnessGoals",neutral,"New York, USA",['#FitnessGoals'],2025-02-21 13:41:11.262844,774,2461,Nike
t00032,leahcunningham,"Exploring the features of Netflix at Berlin, Germany! #MovieNight #EcoFriendly",neutral,"Berlin, Germany","['#MovieNight', '#EcoFriendly']",2024-05-14 19:36:00.482914,577,665,Netflix
t00033,orteganancy,"Frustrated by the poor service at Amazon at Berlin, Germany! #FitnessGoals #Trending",negative,"Berlin, Germany","['#FitnessGoals', '#Trending']",2024-09-14 16:56:22.968951,612,1601,Amazon
t00034,jerrywashington,"Not sure how to feel about Amazon at New York, USA! #Innovation #Trending",neutral,"New York, USA","['#Innovation', '#Trending']",2025-04-16 06:37:59.100699,771,1327,Amazon
t00035,letyler,"Amazing experience with the new product from Samsung at Toronto, Canada! #ShopSmart",positive,"Toronto, Canada",['#ShopSmart'],2024-06-03 17:34:52.652102,19,424,Samsung
t00036,peckmatthew,"Really disappointed with the latest update from Samsung at North Tracy, Barbados! #NewLaunch #Innovation",negative,"North Tracy, Barbados","['#NewLaunch', '#Innovation']",2024-06-05 08:03:01.630726,497,1632,Samsung
t00037,lisa21,"Yet to form a solid opinion about Adidas at Andersonmouth, Mexico! #TechNews #ShopSmart",neutral,"Andersonmouth, Mexico","['#TechNews', '#ShopSmart']",2024-10-17 11:09:43.507642,238,1141,Adidas
t00038,pamelalara,"Honestly, not happy with Tesla at London, UK! #TechNews",negative,"London, UK",['#TechNews'],2024-10-27 06:17:13.448369,358,426,Tesla
t00039,malvarez,"Giving a try to Google at New York, USA! #ShopSmart",neutral,"New York, USA",['#ShopSmart'],2024-06-12 18:39:47.256685,705,2438,Google
t00040,joneslonnie,"Totally recommend checking out Netflix at Tokyo, Japan! #EcoFriendly #Trending",positive,"Tokyo, Japan","['#EcoFriendly', '#Trending']",2024-07-23 07:12:57.532153,767,1418,Netflix
t00041,smithdustin,"Really disappointed with the latest update from Adidas at Berlin, Germany! #NewLaunch #FitnessGoals",negative,"Berlin, Germany","['#NewLaunch', '#FitnessGoals']",2024-10-16 18:50:21.576942,852,1676,Adidas
t00042,moranmark,"Unexpected issues faced with Tesla at Mumbai, India! #Innovation",negative,"Mumbai, India",['#Innovation'],2025-03-10 00:36:03.760907,515,906,Tesla
t00043,guzmancolleen,"Giving a try to Netflix at Mumbai, India! #EcoFriendly #ShopSmart",neutral,"Mumbai, India","['#EcoFriendly', '#ShopSmart']",2025-01-15 18:34:39.805281,1,319,Netflix
t00044,ufranklin,"Super impressed by the quality of Samsung at Berlin, Germany! #Trending",positive,"Berlin, Germany",['#Trending'],2025-03-24 08:07:41.138379,42,700,Samsung
t00045,eric35,"Frustrated by the poor service at Amazon at South Richardborough, Nicaragua! #Innovation",negative,"South Richardborough, Nicaragua",['#Innovation'],2025-01-11 07:00:27.462939,905,1740,Amazon
t00046,sarahrogers,"Really disappointed with the latest update from Apple at Sydney, Australia! #MovieNight",negative,"Sydney, Australia",['#MovieNight'],2024-05-15 01:03:45.304340,64,79,Apple
t00047,ashley85,"Checked out the new update of Netflix at South Shawnchester, Lithuania! #TravelDiaries #EcoFriendly",neutral,"South Shawnchester, Lithuania","['#TravelDiaries', '#EcoFriendly']",2025-04-15 11:27:14.142504,573,1344,Netflix
t00048,xcampbell,"Blown away by the quality of Samsung at Toronto, Canada! #EcoFriendly #Innovation",positive,"Toronto, Canada","['#EcoFriendly', '#Innovation']",2024-12-28 12:42:31.024157,257,982,Samsung
t00049,torreslaura,"Unmatched service and performance by Amazon at Toronto, Canada! #TechNews #NewLaunch",positive,"Toronto, Canada","['#TechNews', '#NewLaunch']",2024-11-27 01:27:52.032215,274,2254,Amazon
t00050,lewissonya,"Another fantastic innovation from Tesla at Los Angeles, USA! #TechNews #Trending",positive,"Los Angeles, USA","['#TechNews', '#Trending']",2024-05-21 11:32:54.634381,167,1133,Tesla
t00051,jacobscindy,"Unexpected issues faced with Amazon at New York, USA! #MovieNight #TravelDiaries",negative,"New York, USA","['#MovieNight', '#TravelDiaries']",2024-07-30 04:08:44.440268,814,2454,Amazon
t00052,bcruz,"Totally recommend checking out Google at South Matthewville, Bahrain! #ShopSmart",positive,"South Matthewville, Bahrain",['#ShopSmart'],2025-03-03 08:00:17.321821,72,1353,Google
t00053,pcollins,"Absolutely loving the latest release by Google at Lake Sandra, Norfolk Island! #ShopSmart #Innovation",positive,"Lake Sandra, Norfolk Island","['#ShopSmart', '#Innovation']",2024-07-10 03:57:31.596209,141,1032,Google
t00054,kiarakrueger,"Absolutely loving the latest release by Tesla at Toronto, Canada! #TravelDiaries",positive,"Toronto, Canada",['#TravelDiaries'],2024-10-12 13:44:35.746280,350,2095,Tesla
t00055,gthomas,"Terrible experience with Adidas at Tokyo, Japan! #Innovation #FitnessGoals",negative,"Tokyo, Japan","['#Innovation', '#FitnessGoals']",2024-04-30 09:34:39.226250,248,1790,Adidas
t00056,jasonhodge,"Amazing experience with the new product from Apple at London, UK! #TravelDiaries #FitnessGoals",positive,"London, UK","['#TravelDiaries', '#FitnessGoals']",2025-01-02 03:24:16.365316,215,1362,Apple
t00057,tduncan,"First time trying products from Samsung at Los Angeles, USA! #TechNews",neutral,"Los Angeles, USA",['#TechNews'],2024-09-28 13:58:44.549472,922,2780,Samsung
t00058,vrodriguez,"Blown away by the quality of Samsung at Los Angeles, USA! #FitnessGoals",positive,"Los Angeles, USA",['#FitnessGoals'],2024-07-01 05:21:18.156396,661,1274,Samsung
t00059,oliviabrown,"Very poor performance by Tesla at Paris, France! #Innovation #MovieNight",negative,"Paris, France","['#Innovation', '#MovieNight']",2024-10-29 09:39:19.076631,329,433,Tesla
t00060,sethwilliams,"Had an average experience with Samsung at London, UK! #NewLaunch #EcoFriendly",neutral,"London, UK","['#NewLaunch', '#EcoFriendly']",2024-08-14 15:10:11.816861,312,677,Samsung
t00061,mariagreer,"Loving the fresh updates brought by Samsung at São Paulo, Brazil! #Trending #MovieNight",positive,"São Paulo, Brazil","['#Trending', '#MovieNight']",2025-04-28 06:09:44.614160,480,892,Samsung
t00062,bridgetstevens,"Blown away by the quality of Google at Sydneyside, Eritrea! #Innovation #MovieNight",positive,"Sydneyside, Eritrea","['#Innovation', '#MovieNight']",2024-05-24 15:51:20.717942,127,404,Google
t00063,samanthadominguez,"Terrible experience with Apple at Tokyo, Japan! #Innovation #NewLaunch",negative,"Tokyo, Japan","['#Innovation', '#NewLaunch']",2025-04-09 01:16:53.717830,197,768,Apple
t00064,morganstephanie,"Terrible experience with Google at South Mariachester, Czech Republic! #TravelDiaries",negative,"South Mariachester, Czech Republic",['#TravelDiaries'],2025-03-25 07:12:28.914809,927,1568,Google
t00065,javila,"Mixed feelings about Apple at South Samantha, Moldova! #Innovation #ShopSmart",neutral,"South Samantha, Moldova","['#Innovation', '#ShopSmart']",2024-09-18 08:56:49.553551,471,1373,Apple
t00066,lewissandra,"Another fantastic innovation from Samsung at Tokyo, Japan! #ShopSmart",positive,"Tokyo, Japan",['#ShopSmart'],2024-05-24 14:31:56.146646,474,671,Samsung
t00067,katie36,"Super impressed by the quality of Amazon at Sydney, Australia! #TravelDiaries",positive,"Sydney, Australia",['#TravelDiaries'],2024-11-17 06:52:19.776979,548,1733,Amazon
t00068,nsolis,"Super impressed by the quality of Samsung at Reginaburgh, Norway! #NewLaunch #FitnessGoals",positive,"Reginaburgh, Norway","['#NewLaunch', '#FitnessGoals']",2024-12-19 03:46:41.773168,119,588,Samsung
t00069,eboyle,"Unmatched service and performance by Apple at London, UK! #FitnessGoals",positive,"London, UK",['#FitnessGoals'],2024-06-07 08:16:13.273542,538,1850,Apple
t00070,ejackson,"Not sure how to feel about Netflix at Sydney, Australia! #FitnessGoals #EcoFriendly",neutral,"Sydney, Australia","['#FitnessGoals', '#EcoFriendly']",2024-10-24 09:48:15.422085,861,2191,Netflix
t00071,kelly93,"Random thoughts on Nike at Stephenview, Anguilla! #ShopSmart",neutral,"Stephenview, Anguilla",['#ShopSmart'],2024-05-20 00:53:47.147602,709,2113,Nike
t00072,rthompson,"Giving a try to Apple at New Jeremiahfurt, Morocco! #NewLaunch",neutral,"New Jeremiahfurt, Morocco",['#NewLaunch'],2024-05-23 00:21:33.064193,880,1901,Apple
t00073,maxwellsean,"Major letdown from Samsung at Berlin, Germany! #TravelDiaries #Innovation",negative,"Berlin, Germany","['#TravelDiaries', '#Innovation']",2024-05-06 00:08:42.363775,346,1237,Samsung
t00074,rscott,"Frustrated by the poor service at Apple at Paris, France! #EcoFriendly",negative,"Paris, France",['#EcoFriendly'],2025-01-04 22:07:26.425335,631,2346,Apple
t00075,eriktaylor,"Major letdown from Google at Mumbai, India! #TravelDiaries",negative,"Mumbai, India",['#TravelDiaries'],2024-08-04 22:36:40.365763,350,2084,Google
t00076,sullivanraymond,"Blown away by the quality of Amazon at Toronto, Canada! #TechNews",positive,"Toronto, Canada",['#TechNews'],2024-10-05 01:22:25.262476,597,1552,Amazon
t00077,jason34,"Super impressed by the quality of Google at East Sandra, Montenegro! #EcoFriendly",positive,"East Sandra, Montenegro",['#EcoFriendly'],2024-06-17 21:47:50.452031,602,2408,Google
t00078,angelahernandez,"Absolutely loving the latest release by Tesla at Mumbai, India! #Trending",positive,"Mumbai, India",['#Trending'],2024-08-10 00:25:23.278414,659,936,Tesla
t00079,michael28,"Excited about the new launch event of Netflix at São Paulo, Brazil! #NewLaunch",positive,"São Paulo, Brazil",['#NewLaunch'],2024-08-15 07:58:54.576932,582,2471,Netflix
t00080,christyreed,"Exploring the features of Google at New York, USA! #FitnessGoals #Trending",neutral,"New York, USA","['#FitnessGoals', '#Trending']",2025-04-07 15:54:35.123946,278,1023,Google
t00081,tammyreynolds,"Random thoughts on Tesla at Glenmouth, Congo! #ShopSmart",neutral,"Glenmouth, Congo",['#ShopSmart'],2024-07-19 14:25:02.052105,671,1264,Tesla
t00082,owood,"Honestly, not happy with Google at São Paulo, Brazil! #FitnessGoals",negative,"São Paulo, Brazil",['#FitnessGoals'],2024-05-01 02:59:42.095989,793,1596,Google
t00083,troy94,"First time trying products from Adidas at Loritown, Papua New Guinea! #EcoFriendly #MovieNight",neutral,"Loritown, Papua New Guinea","['#EcoFriendly', '#MovieNight']",2024-06-29 18:29:24.354950,502,1540,Adidas
t00084,bsmith,"First impressions are great for Netflix at Garyfort, Puerto Rico! #Innovation",positive,"Garyfort, Puerto Rico",['#Innovation'],2024-12-16 16:56:12.992881,369,977,Netflix
t00085,barrettjoseph,"Had an average experience with Adidas at Carlosberg, Falkland Islands (Malvinas)! #Innovation",neutral,"Carlosberg, Falkland Islands (Malvinas)",['#Innovation'],2024-05-11 21:50:46.384127,423,2153,Adidas
t00086,jeffery82,"Totally recommend checking out Apple at West Natashaside, Ethiopia! #Trending #EcoFriendly",positive,"West Natashaside, Ethiopia","['#Trending', '#EcoFriendly']",2025-03-24 07:44:24.807153,44,867,Apple
t00087,stacyvasquez,"Loving the fresh updates brought by Samsung at Davidchester, Trinidad and Tobago! #ShopSmart",positive,"Davidchester, Trinidad and Tobago",['#ShopSmart'],2024-07-14 03:12:14.476619,506,1239,Samsung
t00088,wfoster,"Really disappointed with the latest update from Apple at New York, USA! #MovieNight #Innovation",negative,"New York, USA","['#MovieNight', '#Innovation']",2024-10-26 18:05:50.264993,721,1299,Apple
t00089,ubowen,"Frustrated by the poor service at Amazon at Scottfurt, Sri Lanka! #TechNews",negative,"Scottfurt, Sri Lanka",['#TechNews'],2025-03-21 06:13:04.203534,512,2440,Amazon
t00090,tiffany29,"Unexpected issues faced with Netflix at Berlin, Germany! #FitnessGoals #Trending",negative,"Berlin, Germany","['#FitnessGoals', '#Trending']",2024-05-04 20:43:11.652864,553,2362,Netflix
t00091,wyattmitchell,"Super impressed by the quality of Amazon at Sydney, Australia! #Innovation #Trending",positive,"Sydney, Australia","['#Innovation', '#Trending']",2024-11-24 00:52:34.412802,871,2859,Amazon
t00092,nicholas35,"Could have been better, talking about Adidas at South Leechester, Comoros! #NewLaunch",negative,"South Leechester, Comoros",['#NewLaunch'],2024-10-05 21:28:37.791888,638,2304,Adidas
t00093,spayne,"First impressions are great for Apple at London, UK! #TechNews #MovieNight",positive,"London, UK","['#TechNews', '#MovieNight']",2024-11-15 12:36:14.112536,795,1477,Apple
t00094,awelch,"Amazing experience with the new product from Samsung at East Yvonnetown, Ecuador! #MovieNight #NewLaunch",positive,"East Yvonnetown, Ecuador","['#MovieNight', '#NewLaunch']",2024-09-03 11:43:23.277406,330,1706,Samsung
t00095,jclark,"Unmatched service and performance by Netflix at Tokyo, Japan! #NewLaunch #EcoFriendly",positive,"Tokyo, Japan","['#NewLaunch', '#EcoFriendly']",2025-04-22 14:36:30.128141,928,1967,Netflix
t00096,yhansen,"Random thoughts on Tesla at Paris, France! #ShopSmart #Trending",neutral,"Paris, France","['#ShopSmart', '#Trending']",2024-12-04 04:54:33.129011,714,1694,Tesla
t00097,pdavis,"Absolutely loving the latest release by Amazon at Toronto, Canada! #TravelDiaries",positive,"Toronto, Canada",['#TravelDiaries'],2024-06-17 04:03:59.413532,576,2497,Amazon
t00098,mhodge,"Another fantastic innovation from Tesla at South Robertside, Germany! #NewLaunch",positive,"South Robertside, Germany",['#NewLaunch'],2025-01-24 01:42:21.925415,510,2508,Tesla
t00099,vwagner,"Loving the fresh updates brought by Apple at Los Angeles, USA! #Trending",positive,"Los Angeles, USA",['#Trending'],2024-12-27 18:41:03.823398,783,812,Apple
t00100,valenciaroberta,"Just another update from Amazon at Cassandratown, Qatar! #TechNews #TravelDiaries",neutral,"Cassandratown, Qatar","['#TechNews', '#TravelDiaries']",2024-05-13 03:51:53.370268,556,1931,Amazon
t00101,gwhitaker,"Super impressed by the quality of Samsung at Kylemouth, Nepal! #TechNews",positive,"Kylemouth, Nepal",['#TechNews'],2024-11-28 21:18:17.817093,931,1537,Samsung
t00102,browndennis,"Terrible experience with Tesla at Sydney, Australia! #TravelDiaries",negative,"Sydney, Australia",['#TravelDiaries'],2024-11-21 02:55:37.274153,451,2300,Tesla
t00103,nlevine,"Could have been better, talking about Google at Tokyo, Japan! #MovieNight",negative,"Tokyo, Japan",['#MovieNight'],2024-10-28 05:54:01.948406,782,2654,Google
t00104,masonlong,"Major letdown from Samsung at Mumbai, India! #ShopSmart #FitnessGoals",negative,"Mumbai, India","['#ShopSmart', '#FitnessGoals']",2024-06-02 22:16:02.558134,749,2222,Samsung
t00105,ithompson,"Had an average experience with Netflix at West Linda, Palau! #MovieNight #FitnessGoals",neutral,"West Linda, Palau","['#MovieNight', '#FitnessGoals']",2024-09-07 19:05:24.975066,869,2683,Netflix
t00106,yorkkyle,"Excited about the new launch event of Google at North Debra, Armenia! #NewLaunch #Trending",positive,"North Debra, Armenia","['#NewLaunch', '#Trending']",2024-07-10 10:04:22.386479,141,1751,Google
t00107,dylan82,"Terrible experience with Samsung at Berlin, Germany! #ShopSmart",negative,"Berlin, Germany",['#ShopSmart'],2025-01-25 18:49:13.318140,44,428,Samsung
t00108,danielle96,"Unexpected issues faced with Google at Sydney, Australia! #ShopSmart",negative,"Sydney, Australia",['#ShopSmart'],2024-07-25 04:32:30.213906,46,1671,Google
t00109,jordansmith,"Honestly, not happy with Samsung at São Paulo, Brazil! #ShopSmart #MovieNight",negative,"São Paulo, Brazil","['#ShopSmart', '#MovieNight']",2025-03-30 23:08:10.369710,273,878,Samsung
t00110,kstanley,"Frustrated by the poor service at Adidas at Berlin, Germany! #Trending #FitnessGoals",negative,"Berlin, Germany","['#Trending', '#FitnessGoals']",2024-12-21 10:14:17.620330,587,614,Adidas
t00111,markbush,"Giving a try to Tesla at Alvarezfurt, Djibouti! #FitnessGoals",neutral,"Alvarezfurt, Djibouti",['#FitnessGoals'],2025-01-01 07:49:14.754869,409,1300,Tesla
t00112,dwilson,"Just another update from Samsung at Lake Eric, Holy See (Vatican City State)! #Innovation #TechNews",neutral,"Lake Eric, Holy See (Vatican City State)","['#Innovation', '#TechNews']",2024-08-26 12:55:29.929115,99,1406,Samsung
t00113,loriboyd,"Mixed feelings about Amazon at Los Angeles, USA! #EcoFriendly #FitnessGoals",neutral,"Los Angeles, USA","['#EcoFriendly', '#FitnessGoals']",2025-01-01 05:24:12.679230,200,239,Amazon
t00114,iwade,"First impressions are great for Adidas at São Paulo, Brazil! #EcoFriendly #NewLaunch",positive,"São Paulo, Brazil","['#EcoFriendly', '#NewLaunch']",2024-12-24 14:38:42.461365,583,939,Adidas
t00115,nwilliams,"Really disappointed with the latest update from Samsung at Berlin, Germany! #Innovation #NewLaunch",negative,"Berlin, Germany","['#Innovation', '#NewLaunch']",2024-06-13 12:19:42.550290,176,260,Samsung
t00116,jennifercole,"Random thoughts on Samsung at Sydney, Australia! #Trending #TechNews",neutral,"Sydney, Australia","['#Trending', '#TechNews']",2024-12-01 00:08:03.899934,962,2438,Samsung
t00117,scottchristopher,"Major letdown from Tesla at Sydney, Australia! #MovieNight",negative,"Sydney, Australia",['#MovieNight'],2024-09-09 22:17:05.947424,699,1607,Tesla
t00118,marysantos,"Checked out the new update of Amazon at São Paulo, Brazil! #Trending",neutral,"São Paulo, Brazil",['#Trending'],2025-04-27 21:28:00.688776,338,2296,Amazon
t00119,brookewilson,"First impressions are great for Netflix at West Valerie, Vietnam! #Innovation",positive,"West Valerie, Vietnam",['#Innovation'],2024-11-15 06:46:11.406861,135,651,Netflix
t00120,melendezerica,"Random thoughts on Nike at Berlin, Germany! #MovieNight",neutral,"Berlin, Germany",['#MovieNight'],2024-10-17 04:53:12.670440,776,1325,Nike
t00121,zjohnson,"First impressions are great for Apple at Wendybury, Netherlands Antilles! #ShopSmart #TechNews",positive,"Wendybury, Netherlands Antilles","['#ShopSmart', '#TechNews']",2025-04-21 08:45:33.332676,654,2086,Apple
t00122,brandijacobs,"Worst experience so far with Apple at London, UK! #Trending #TechNews",negative,"London, UK","['#Trending', '#TechNews']",2024-12-06 08:28:10.773261,561,846,Apple
t00123,ojoseph,"Very poor performance by Amazon at Tokyo, Japan! #TravelDiaries #MovieNight",negative,"Tokyo, Japan","['#TravelDiaries', '#MovieNight']",2024-06-29 06:07:17.984977,144,1403,Amazon
t00124,bushjohn,"Exploring the features of Tesla at Toronto, Canada! #NewLaunch #Innovation",neutral,"Toronto, Canada","['#NewLaunch', '#Innovation']",2024-12-13 02:22:09.350533,315,1483,Tesla
t00125,obell,"Totally recommend checking out Google at Paris, France! #FitnessGoals #NewLaunch",positive,"Paris, France","['#FitnessGoals', '#NewLaunch']",2024-09-09 08:25:49.855153,124,1849,Google
t00126,swilliams,"Not satisfied with the recent changes by Nike at Mumbai, India! #TechNews",negative,"Mumbai, India",['#TechNews'],2024-11-19 22:06:50.171709,957,2912,Nike
t00127,bwatson,"Unmatched service and performance by Apple at Los Angeles, USA! #TechNews",positive,"Los Angeles, USA",['#TechNews'],2024-11-13 14:18:22.240770,168,1707,Apple
t00128,pnash,"Really disappointed with the latest update from Nike at Sydney, Australia! #FitnessGoals",negative,"Sydney, Australia",['#FitnessGoals'],2024-10-30 07:51:03.546811,266,787,Nike
t00129,bennettnicholas,"Giving a try to Amazon at Mumbai, India! #MovieNight",neutral,"Mumbai, India",['#MovieNight'],2024-08-31 23:04:13.290017,648,1097,Amazon
t00130,jennifer66,"Unmatched service and performance by Apple at Lake Miguelton, Egypt! #TechNews",positive,"Lake Miguelton, Egypt",['#TechNews'],2025-04-20 23:51:06.210873,664,1496,Apple
t00131,laura44,"Unexpected issues faced with Adidas at São Paulo, Brazil! #ShopSmart #EcoFriendly",negative,"São Paulo, Brazil","['#ShopSmart', '#EcoFriendly']",2025-03-17 12:09:26.221399,437,597,Adidas
t00132,littlemark,"Had an average experience with Tesla at Tokyo, Japan! #FitnessGoals #Trending",neutral,"Tokyo, Japan","['#FitnessGoals', '#Trending']",2024-11-08 13:51:11.969907,525,2065,Tesla
t00133,hchang,"Honestly, not happy with Samsung at Sydney, Australia! #MovieNight",negative,"Sydney, Australia",['#MovieNight'],2025-02-06 10:53:15.776273,946,1134,Samsung
t00134,williamwalker,"Loving the fresh updates brought by Netflix at South Kenneth, Romania! #TravelDiaries #MovieNight",positive,"South Kenneth, Romania","['#TravelDiaries', '#MovieNight']",2024-06-25 05:59:34.116906,121,774,Netflix
t00135,pfoster,"Exploring the features of Google at Paris, France! #ShopSmart",neutral,"Paris, France",['#ShopSmart'],2024-11-12 01:38:01.030489,16,1243,Google
t00136,ujones,"First impressions are great for Apple at Lake Darlenebury, Liechtenstein! #TechNews #NewLaunch",positive,"Lake Darlenebury, Liechtenstein","['#TechNews', '#NewLaunch']",2024-05-14 02:36:57.490906,705,1519,Apple
t00137,adouglas,"First impressions are great for Apple at East Sydneyshire, Cyprus! #TechNews #TravelDiaries",positive,"East Sydneyshire, Cyprus","['#TechNews', '#TravelDiaries']",2024-05-02 03:07:36.254707,927,1716,Apple
t00138,marylopez,"Loving the fresh updates brought by Samsung at Williamstad, Malaysia! #FitnessGoals",positive,"Williamstad, Malaysia",['#FitnessGoals'],2024-11-26 21:43:03.480665,225,1295,Samsung
t00139,andersonkenneth,"Honestly, not happy with Adidas at Powersview, Netherlands Antilles! #TechNews #Innovation",negative,"Powersview, Netherlands Antilles","['#TechNews', '#Innovation']",2024-06-07 15:50:49.892704,686,1842,Adidas
t00140,dana11,"First impressions are great for Tesla at Toronto, Canada! #MovieNight",positive,"Toronto, Canada",['#MovieNight'],2024-05-07 09:11:08.842926,791,2213,Tesla
t00141,blake67,"Unmatched service and performance by Adidas at East Justinfort, Faroe Islands! #Innovation #TravelDiaries",positive,"East Justinfort, Faroe Islands","['#Innovation', '#TravelDiaries']",2024-10-31 19:55:11.617331,300,1438,Adidas
